name,producer,year,alcoholPercentage,volume,price,country,region,district,type,categoryTaste,usage,taste,tasteBitter,tasteSweetness,tasteFruitAcid,tasteBody,tasteRoughness,url,imageURL,grapes
"Black Tower, Organic Pink Bubbly",Reh Kendermann,2019,8.5,750.0,69.0,EU,,,Rose wine,Fruity & Tasty,Served at about 8 ° C as a companion drink or for salads.,"Fruity, pearly taste with sweetness, hints of strawberries, peach and raspberries.",0.0%,50.0%,66.666666666666666%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/black-tower-650801,https://product-cdn.systembolaget.se/productimages/689075/689075,
"Lynx, Petite Sirah Zinfandel",House of Big Wines,2018,13.5,750.0,95.0,USA,California,,Red wine,Fruity & Tasty,Served at about 18 ° C with lamb or beef dishes.,"Very fruity taste with barrel character and little sweetness, hints of blueberry jam, blackberries, milk chocolate, fresh herbs and vanilla.",0.0%,0.0%,75.0%,66.666666666666666%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/lynx-7408701,https://product-cdn.systembolaget.se/productimages/834042/834042,Petite sirah --- Zinfandel
"Lindemans, Chardonnay",Lindemans,2019,13.0,750.0,72.0,Australia,South Eastern Australia,,White wine,Full-bodied & Tasty,"Served at 8-10 ° C for tasty, preferably grilled dishes of fish or for light meat.","Very fruity taste with hints of cask, peach, mango, vanilla and mandarin.",0.0%,16.66666666666666464%,66.666666666666666%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/lindemans-1645701,https://product-cdn.systembolaget.se/productimages/834103/834103,Chardonnay
"Ecologica La Pluma, Rosé",Julià & Navinès,2019,12.5,750.0,89.0,Spain,Catalonia,Penedès,Rose wine,Fruity & Tasty,"Served at about 8 ° C as a social drink, with fish or chicken dishes or salads.","Fruity, youthful taste with hints of peach, strawberry, cherry and grapefruit.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/ecologica-la-pluma-219701,https://product-cdn.systembolaget.se/productimages/839848/839848,Tempranillo --- Merlot --- Cabernet Sauvignon
Flare Three Star Silver,Altia,,21.0,500.0,109.0,International brand,,,Aperitif & Dessert,Mulled wine and mulled wine,Served at room temperature or heated as a social drink or as an avec.,"Spicy, sweet taste with hints of rum raisins, vanilla, dried fruit, oranges, almonds, honey and cinnamon.",0.0%,75.0%,0.0%,75.0%,0.0%,https://www.systembolaget.se/produkt/vin/blossa-trestjärnig-silver-9651802,https://product-cdn.systembolaget.se/productimages/858094/858094,
Flare Three Star Gold,Altia,,21.0,500.0,109.0,International brand,,,Aperitif & Dessert,Mulled wine and mulled wine,Served heated or chilled as a social drink.,"Spicy, sweet taste with hints of chocolate, cardamom, sultan raisin, nuts, orange, cinnamon and cloves. Tons of cognac.",0.0%,75.0%,0.0%,75.0%,0.0%,https://www.systembolaget.se/produkt/vin/blossa-trestjärnig-guld-9651702,https://product-cdn.systembolaget.se/productimages/858125/858125,
"Pizzolato Spumante d'Italia Bianco, Extra Dry",La Cantina Pizzolato,,11.0,750.0,79.0,Italy,,,Sparkling wine,Dry white,Served at 6-8 ° C as a companion wine.,"Dry, fruity taste with hints of pear, citrus peel and elder.",0.0%,16.66666666666666464%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/pizzolato-spumante-d'italia-bianco-7718501,https://product-cdn.systembolaget.se/productimages/866390/866390,Glera --- Pinot nero
"Patriarch of Burgundy Chardonnay, Cuvée des Visitandines",Patriarch Father & Son,2018,12.5,750.0,115.0,France,Burgundy,,White wine,Full-bodied & Tasty,"Served at 8-10 ° C with fish or seafood dishes, or with light meat.","Fruity taste with hints of cask, yellow apples, herbs, peach, spices and citrus.",0.0%,8.333333333333332%,75.0%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/patriarche-bourgogne-chardonnay-7115901,https://product-cdn.systembolaget.se/productimages/978958/978958,Chardonnay
"Saint Clair, Vicar's Choice Sauvignon Blanc",Saint Clair Family Estate,2018,12.5,750.0,99.0,New Zealand,Marlborough,,White wine,Fresh & Fruity,"Served at 8-10 ° C with seafood dishes, or with sour goat cheeses.","Aromatic, very fresh taste with hints of pear, lime, blackcurrant leaves, gooseberries and nettles.",0.0%,8.333333333333332%,83.33333333333334%,25.0%,0.0%,https://www.systembolaget.se/produkt/vin/saint-clair-1200001,https://product-cdn.systembolaget.se/productimages/190680/190680,White Sauvignon
"Bouchard Aîné, Pinot Noir",Bouchard Aîné et Fils,2019,12.5,750.0,89.0,France,,,Red wine,Soft & Berry,Served at about 16 ° C for dishes of fatty or wild birds and for lighter dishes of pork or lamb.,"Berry, slightly spicy taste with barrel character, hints of strawberries, raspberries, fresh herbs, lingonberries and vanilla.",0.0%,0.0%,83.33333333333334%,41.6666666666666767%,41.6666666666666767%,https://www.systembolaget.se/produkt/vin/bouchard-aîné-8253101,https://product-cdn.systembolaget.se/productimages/229748/229748,Pinot noir
GW: s Röda,Scanivinus Lda.,2018,13.0,750.0,109.0,Portugal,Tejo,,Red wine,Fruity & Tasty,Served at 16-18 ° C with lamb or beef dishes.,"Fruity taste with hints of black currants, dark cherries, licorice, violet and herbs.",0.0%,0.0%,75.0%,58.333333333333336%,50.0%,https://www.systembolaget.se/produkt/vin/gw-:s-röda-7213901,https://product-cdn.systembolaget.se/productimages/12947975/12947975,Cabernet sauvignon --- Aragonez --- Castelão
"Tommasi, Amarone della Valpolicella Classico",Tommasi Viticoltori,2016,15.0,750.0,299.0,Italy,Veneto,Valpolicella,Red wine,Spicy & Musty,Served at about 18 ° C with dark meat dishes or aged hard cheeses.,"Spicy, nuanced taste with hints of cask, dark cherries, raisins, nuts, cinnamon and cocoa.",0.0%,0.0%,75.0%,83.33333333333334%,75.0%,https://www.systembolaget.se/produkt/vin/tommasi-2235001,https://product-cdn.systembolaget.se/productimages/13541/13541,Corvina veronese --- Oseleta --- Corvinone --- Rondinella
"Martini, Extra Dry",Martini Rossi,,15.0,750.0,99.0,Italy,,,Aperitif & Dessert,Vermouth,Served chilled as an aperitif or as a drinking ingredient.,"Spicy, aromatic taste with a little sweetness, hints of wormwood and citrus peel.",0.0%,25.0%,0.0%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/martini-868201,https://product-cdn.systembolaget.se/productimages/13888/13888,
"Lindemans Bin 65, Chardonnay",Lindemans,2019,13.5,750.0,79.0,Australia,South Eastern Australia,,White wine,Full-bodied & Tasty,Served at about 8 ° C with fish dishes or light meat.,"Very fruity taste with hints of cask, yellow apples, pineapple, pear, citrus and vanilla.",0.0%,8.333333333333332%,75.0%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/lindemans-bin-65-210601,https://product-cdn.systembolaget.se/productimages/1432/1432,Chardonnay
"Piedmont, Barbera",San Silvestro,2019,13.5,750.0,119.0,Italy,Piedmont,,Red wine,Soft & Berry,"Served at about 16 ° C with vegetarian dishes, or with dishes of fried fish or light meat.","Berry taste with hints of forest raspberries, blueberries, fresh herbs and violets.",0.0%,0.0%,83.33333333333334%,41.6666666666666767%,41.6666666666666767%,https://www.systembolaget.se/produkt/vin/piemonte-7278201,https://product-cdn.systembolaget.se/productimages/1037974/1037974,Barbera
"Federico Paternina, Banda Azul Crianza",Marques de la Concordia Family of Wines,2017,13.5,750.0,79.0,Spain,Rioja,,Red wine,Spicy & Musty,Served at 16-18 ° C with lamb and beef dishes.,"Spicy taste with barrel character, hints of dark cherries, cinnamon, plums, dark chocolate and vanilla.",0.0%,0.0%,75.0%,66.666666666666666%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/federico-paternina-295401,https://sb-product-media-prod.azureedge.net/productimages/24445903/24445903,Tempranillo --- Grenache
"Domaine Boyar, Ethno Sauvignon Blanc",Domaine Boyar,2019,12.5,750.0,69.0,Bulgaria,Thrace,,White wine,Fresh & Fruity,Served at 8-10 ° C with seafood dishes.,"Aromatic, youthful, very fresh taste with hints of passion fruit, fresh herbs and lime.",0.0%,8.333333333333332%,83.33333333333334%,25.0%,0.0%,https://www.systembolaget.se/produkt/vin/domaine-boyar-671001,https://sb-product-media-prod.azureedge.net/productimages/24446161/24446161,White Sauvignon
"Bolla Le Poiane, Ripasso",Bolla,2017,13.5,750.0,119.0,Italy,Veneto,Valpolicella,Red wine,Spicy & Musty,Served at 16-18 ° C with lamb or beef dishes.,"Spicy, nuanced taste with hints of cask, dark cherries, sage, plums, oranges, cinnamon and chocolate.",0.0%,0.0%,83.33333333333334%,66.666666666666666%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/bolla-le-poiane-2232001,https://product-cdn.systembolaget.se/productimages/30148/30148,Rondinella --- Corvina --- Molinara
"Gustave Lorentz, Riesling Reserve",Gustave Lorentz,2019,12.5,750.0,109.0,France,Alsace,,White wine,Grape & Floral,Served at 8-10 ° C as an aperitif or for light seafood dishes.,"Grape, very fresh taste with hints of pear, white flowers, peach, herbs and citrus peel.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/gustave-lorentz-2225701,https://product-cdn.systembolaget.se/productimages/38233/38233,Riesling
"Campolieti, Ripasso",Luigi Righetti,2018,13.5,750.0,115.0,Italy,Veneto,Valpolicella,Red wine,Spicy & Musty,"Served at 16-18 ° C with dishes of pork, lamb or beef.","Spicy taste with barrel character, hints of cherries, chocolate, raisins, cloves and cinnamon.",0.0%,0.0%,75.0%,66.666666666666666%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/campolieti-679201,https://product-cdn.systembolaget.se/productimages/3877/3877,Corvina --- Molinara --- Rondinella
Asti Cinzano,Cinzano,,7.0,750.0,79.0,Italy,Piedmont,Asti,Sparkling wine,Sweet white,"Served at 8-10 ° C as a companion drink, or for desserts containing berries or fruit.","Fruity, floral, sweet taste with hints of honey, elderberry, pear and citrus peel.",0.0%,75.0%,66.666666666666666%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/asti-cinzano-771101,https://product-cdn.systembolaget.se/productimages/4033/4033,
"Selvarossa, Salice Salentino",Cantine Due Palme,2015,14.0,750.0,85.0,Italy,Apulia,Salice Salentino,Red wine,Spicy & Musty,Served at 16-18 ° C for tasty dishes of lamb or beef.,"Spicy taste with a little sweetness, hints of cask, cherries, prunes, vanilla and allspice.",0.0%,0.0%,75.0%,66.666666666666666%,50.0%,https://www.systembolaget.se/produkt/vin/selvarossa-3222801,https://product-cdn.systembolaget.se/productimages/41794/41794,Negroamaro --- Malvasia
"Boira ', Sangiovese",Canteen Volpi,2019,13.0,750.0,99.0,Italy,March,,Red wine,Fruity & Tasty,Served at about 16 ° C with pork or lamb dishes or vegetarian dishes.,"Fruity, youthful taste with hints of cask, cherry, raspberry, herbs and vanilla.",0.0%,0.0%,83.33333333333334%,58.333333333333336%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/boira'-3243101,https://product-cdn.systembolaget.se/productimages/41807/41807,Sangiovese
"Castelforte, Prosecco Extra Dry",Riondo Canteen,,11.0,375.0,54.0,Italy,Veneto,Prosecco,Sparkling wine,Dry white,"Served at 8-10 ° C as a companion drink, or with light seafood dishes.","Dry, youthful taste with hints of pear, honeydew melon and citrus.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/castelforte-772002,https://product-cdn.systembolaget.se/productimages/508157/508157,Glera
"Castiôn, Moscato d'Asti",San Martino di Soave Ernesto,2019,5.5,750.0,95.0,Italy,Piedmont,Moscato d'Asti,White wine,Sweet,Served at 6-8 ° C with fruit and berry desserts.,"Floral, very sweet, pearly, grape-typical taste with hints of elderberry, pear, honey, green apples and lime.",0.0%,83.33333333333334%,66.666666666666666%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/castiôn-787301,https://product-cdn.systembolaget.se/productimages/543767/543767,Muscat
Red Port,Andresen AS,,20.0,375.0,69.0,Portugal,Douro,Postage,Aperitif & Dessert,Port,Served at 16-18 ° C for desserts or aged cheeses.,"Fruity, sweet taste with hints of raisins, nutmeg and figs.",0.0%,75.0%,0.0%,66.666666666666666%,0.0%,https://www.systembolaget.se/produkt/vin/red-port-808702,https://product-cdn.systembolaget.se/productimages/11633/11633,
"Girasol, Verdejo Organic",Hacienda 200 Barricas,2019,13.0,750.0,69.0,Spain,Castile-La Mancha,VdlT Castilla,White wine,Fresh & Fruity,"Served at 8-10 ° C with fish or seafood dishes, or with salads.","Fruity, youthful taste with hints of pear, honeydew melon, peach and citrus.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/girasol-2234901,https://sb-product-media-prod.azureedge.net/productimages/24471230/24471230,Verdejo
Villa Puccini,Castellani,2015,12.5,750.0,89.0,Italy,Tuscany,,Red wine,Spicy & Musty,Served at 16-18 ° C with lamb and beef dishes.,"Spicy, nuanced taste with barrel character, hints of dark cherries, plums, sage, vanilla and orange.",0.0%,0.0%,75.0%,66.666666666666666%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/villa-puccini-3241701,https://product-cdn.systembolaget.se/productimages/30144/30144,Sangiovese --- Merlot
"Spring Village, Merlot",Spendrups,2019,12.5,750.0,75.0,USA,California,,Red wine,Fruity & Tasty,"Served at 16-18 ° C with vegetarian dishes, or with light meat dishes.","Very fruity taste with sweetness, hints of cask, dark berries, plums, sweet licorice and vanilla.",0.0%,0.0%,66.666666666666666%,50.0%,33.33333333333333%,https://www.systembolaget.se/produkt/vin/spring-village-671101,https://product-cdn.systembolaget.se/productimages/585914/585914,Merlot
"Kung Fu Girl, Riesling",Charles Smith Wines,2018,12.0,750.0,139.0,USA,Washington State,,White wine,Fresh & Fruity,Served at 8-10 ° C with seafood dishes.,"Fruity, very fresh taste with a little sweetness, hints of green apples, honey, pineapple and lime.",0.0%,25.0%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/kung-fu-girl-269001,https://product-cdn.systembolaget.se/productimages/635382/635382,Riesling
"Barefoot, White Zinfandel",Barefoot Cellars,,8.5,750.0,79.0,USA,California,,Rose wine,Fruity & Tasty,"Served at about 8 ° C as a social drink, with hot fish and chicken dishes or salads.","Fruity taste with sweetness, hints of ripe strawberries, jelly raspberries and white peach.",0.0%,58.333333333333336%,66.666666666666666%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/barefoot-221501,https://product-cdn.systembolaget.se/productimages/657872/657872,Zinfandel
Real Treasure,José Estevez,,15.0,750.0,79.0,Spain,Andalusia,Jerez,Aperitif & Dessert,Sherry & Montilla,Served at about 14 ° C as an aperitif or for small picks.,"Semi-dry, nuanced taste with hints of dried fruit, brown sugar, orange and nougat.",0.0%,58.333333333333336%,0.0%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/real-tesoro-823001,https://product-cdn.systembolaget.se/productimages/904802/904802,
Marie d'Alsace,Jean Biecher,2019,12.5,750.0,89.0,France,Alsace,,White wine,Grape & Floral,Served at 8-10 ° C as a companion drink or with fish dishes or salads.,"Grape, floral taste with hints of pear, apricot, roses, honey and spices.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/marie-d'alsace-1224401,https://product-cdn.systembolaget.se/productimages/14872/14872,Pinot blanc --- Gewurztraminer
"Welmoed, Shiraz Pinotage",Stellenbosch Vineyards,2019,13.5,2000.0,199.0,South Africa,Western Cape,,Red wine,Fruity & Tasty,Served at 16-18 ° C with grilled dishes of lamb and beef.,"Fruity, spicy taste with hints of cask, black currant, rosemary, cherry, licorice, pepper and raspberry.",0.0%,0.0%,75.0%,66.666666666666666%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/welmoed-260107,https://sb-product-media-prod.azureedge.net/productimages/24424454/24424454,Pinotage --- Shiraz
"Mauro, Primitivo Alberello",Nordic Sea Winery,2019,14.0,375.0,44.0,Italy,Apulia,Salento,Red wine,Fruity & Tasty,"Served at about 16 ° C with pork or lamb dishes, or vegetarian dishes.","Very fruity, youthful taste with hints of cask, blueberry, blackberry, licorice and vanilla.",0.0%,0.0%,75.0%,58.333333333333336%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/mauro-3236402,https://product-cdn.systembolaget.se/productimages/193689/193689,
"Villa Valentina, Sangiovese",Iconic Wines,2019,13.0,750.0,89.0,Italy,Apulia,,Red wine,Fruity & Tasty,"Served at 16-18 ° C with grilled dishes of pork or lamb, or with vegetarian dishes.","Fruity taste with a little sweetness, hints of cask, dark cherries, ripe strawberries, cinnamon and vanilla.",0.0%,0.0%,75.0%,58.333333333333336%,50.0%,https://www.systembolaget.se/produkt/vin/villa-valentina-7659801,https://product-cdn.systembolaget.se/productimages/1020801/1020801,Sangiovese
"Ruppertsberger Hofstück, Riesling",Ruppertsberger Weinkeller Hoheburg eG,2019,11.5,750.0,75.0,Germany,Palatinate,,White wine,Fresh & Fruity,"Served at 8-10 ° C with spicy seafood dishes, preferably with Asian elements.","Fruity taste with sweetness, hints of pear, pineapple, honeydew melon and citrus.",0.0%,50.0%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/ruppertsberger-hofstück-591401,https://product-cdn.systembolaget.se/productimages/10703/10703,Riesling
